model,accuracy,precision_macro,recall_macro,f1_macro,train_seconds
XGBoost,0.756,0.4648736407033702,0.4598326222447186,0.45764503512168386,36.28
Logistic Regression,0.655,0.4189916641882878,0.4431300603247335,0.4180409267641006,7.91
Gradient Boosting,0.721,0.4159764960190955,0.3935197603380374,0.3957550687181126,98.4
Random Forest,0.698,0.3932935196588893,0.37185129080320983,0.3684947460977981,6.34
Decision Tree,0.596,0.3519221449646575,0.3429704424155534,0.3411426494339908,0.12
SVM (RBF),0.435,0.2579082237396376,0.2747305642602128,0.24220921464541692,17.52
K-Nearest Neighbours,0.454,0.2055589707470535,0.18137822688469935,0.18014104966512032,0.02
Naive Bayes,0.178,0.29510455644129113,0.17622426295675925,0.14235127202494147,0.05
